station_id,name,address,capacity
2,002 - Retiro I,"Ramos Mejia, Jose Maria, Dr. Av. & Del Libertador Av.",20
3,003 - ADUANA,Moreno & Av Paseo Colon,20
4,004 - Plaza Roma,Lavalle & Bouchard,20
5,005 - Plaza Italia,Av. Sarmiento 2601,40
6,006 - Parque Lezama,"Avenida Martin Garcia, 295",20
7,007 - OBELISCO,CARLOS PELEGRINI 215,16
8,008 - Congreso,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",24
9,009 - Parque Las Heras,"2300 Diaz, Cnel. Av. & French",23
11,011 - Tribunales,600 Talcahuano,20
12,012 - Plaza Vicente Lopez,Parana & Juncal,16
13,013 - ONCE,Av. Pueyrredon & Av. Rivadavia,30
14,014 - Pacifico,"Santa Fe Av. & Bullrich, Int. Av.",30
15,015 - JUANA MANSO II,Juana Manso & Emma de la Barra,20
17,017 - Plaza Almagro,"441 Bulnes & Peron, Juan Domingo, Tte. General",20
19,019 - PLAZA SAN MARTIN,Av. Santa Fe 750 & Maipu,24
20,020 - Distrito Audiovisual,Zapiola & Dorrego,20
21,021 - Parque Patricios,Iguazu & Uspallata,24
22,022 - Arenales,Cerrito & Arenales,19
23,023 - Suipacha,"Suipacha & Viamonte, 709",11
24,024 - ALSINA,Adolfo Alsina& Bernardo De Irigoyen,17
25,025 - Plaza Guemes,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",24
26,026 - JUANA MANSO I,"Manso Juana & De La Barra, Emma",24
27,027 - Montevideo,Cordoba Av. & Montevideo,15
28,028 - Plaza Boedo,"3310 Calvo, Carlos & Sanchez De Loria",20
29,029 - Parque Centenario,Av. Patricias Argentinas & Estivao,30
30,030 - Peña,Peña & Azcuenaga,20
31,031 - Padilla,"Padilla & Alvarez, Julian",20
32,032 - Catedral,67 San Martin,16
33,033 - Facultad de Medicina,Pres. José Evaristo Uriburu 987,20
35,035 - INGENIERO BUTTY,Ing. E. Butty 291,29
36,036 - MAIPÚ,MAIPÙ 300,16
38,038 - Plaza Libertad,Cerrito 990 y Av. Marcelo T. De Alvear,19
39,039 - CONGRESO II,Rivadavia Av. & Parana,20
40,040 - Sarmiento,Sarmiento 481,16
41,041 - Urquiza y Rondeau,"Urquiza, Gral. & Rondeau",20
42,042 - Diagonal Norte,"Saenz Peña, Roque, Pres. Diagonal Norte Av. & Suipacha",23
43,334 - CENTRO DE EXPOSICIONES,2133 Figueroa Alcorta,15
44,044 - Ecoparque,"Av. Del Libertador, 3260",19
45,045 - Uruguay,561 Uruguay & Av. Tucuman,19
46,046 - Chile,"Calle Perú, 718",17
47,047 - Colegio Nacional de Buenos Aires,306 Bolivar & Moreno,16
48,034 - Colonia Express,150 Dellepiane Y Pedro de Mendoza,16
49,049 - 33 Orientales,Constitucion & Treinta Y Tres Orientales,20
50,050 - Hospital Rivadavia,2516 Pereyra Lucena,20
51,051 - TUCUMAN,Tucuman & 9 De Julio Av.,12
52,052 - SANCHEZ DE BUSTAMANTE,212 Sanchez De Bustamante,20
53,053 - Ricardo Rojas,1068 San Martin,20
